;b_id2;year_median_median;lat_1_max_min;long_1_max_min
199;b_87_800;2002;-23.68996702;-47.091034
100;b_191_800;2003;-19.07276395;-41.87494461
101;b_192_800;2003;-19.04052637;-41.82868422
102;b_193_800;2003;-19.02147223;-41.81938889
53;b_146_800;2004;-22.32181948;-42.85801666
54;b_147_800;2004;-22.29906669;-42.89255278
55;b_148_800;2004;-22.28745299;-42.8803727
56;b_149_800;2004;-22.27739169;-42.85855278
62;b_154_800;2004;-22.06691669;-42.59275
63;b_155_800;2004;-22.05482476;-42.59180953
64;b_156_800;2004;-22.04794446;-42.66847222
71;b_162_800;2004;-22.02179175;-42.63145828
187;b_76_800;2004;-23.73973193;-47.06215732
30;b_125_800;2005;-22.57500002;-42.8481
49;b_142_800;2005;-22.45476946;-42.99975
58;b_150_800;2005;-22.21408616;-42.80417912
59;b_151_800;2005;-22.21163058;-42.81905
60;b_152_800;2005;-22.20591668;-42.79702221
193;b_81_800;2005;-23.71692903;-47.10875595
194;b_82_800;2005;-23.71625303;-46.95004154
201;b_89_800;2005;-23.67444304;-46.96012197
16;b_112_800;2006;-22.73444447;-43.91402776
17;b_113_800;2006;-22.72055558;-43.89111111
27;b_122_800;2006;-22.59135002;-42.91225002
28;b_123_800;2006;-22.58250002;-42.8644
38;b_132_800;2006;-22.54085005;-42.83375006
39;b_133_800;2006;-22.53580002;-42.9086
130;b_24_800;2006;-24.22722748;-48.38775581
131;b_25_800;2006;-24.22158603;-48.36884096
132;b_26_800;2006;-24.10960002;-48.344641
135;b_29_800;2006;-24.09638302;-48.327374
138;b_31_800;2006;-24.09332802;-48.291748
140;b_33_800;2006;-24.08777202;-48.349112
146;b_39_800;2006;-24.06519202;-48.393319
147;b_4_800;2006;-26.4797075;-51.3232851
152;b_44_800;2006;-24.04986502;-48.313448
157;b_49_800;2006;-24.04147502;-48.309564
158;b_5_800;2006;-26.47643059;-51.43522222
159;b_50_800;2006;-23.96037002;-47.382619
160;b_51_800;2006;-23.95406502;-47.408896
161;b_52_800;2006;-23.94146387;-47.39561833
163;b_54_800;2006;-23.90813202;-47.454211
164;b_55_800;2006;-23.90357802;-47.4663
165;b_56_800;2006;-23.88907702;-47.459771
167;b_58_800;2006;-23.88955161;-47.48105943
168;b_59_800;2006;-23.87605402;-47.480463
169;b_6_800;2006;-26.40634724;-51.35498612
170;b_60_800;2006;-23.87435202;-47.38428
171;b_61_800;2006;-23.87393802;-47.49018
173;b_63_800;2006;-23.85737602;-47.42217
174;b_64_800;2006;-23.85482002;-47.449603
175;b_65_800;2006;-23.85205002;-47.461446
176;b_66_800;2006;-23.84982302;-47.474192
177;b_67_800;2006;-23.84456602;-47.451295
178;b_68_800;2006;-23.83290402;-47.44558
202;b_9_800;2006;-26.39319446;-51.39205556
3;b_100_800;2007;-23.1777289;-45.37894472
4;b_101_800;2007;-23.17114663;-45.29290046
22;b_118_800;2007;-22.62940002;-42.7506
26;b_121_800;2007;-22.59250002;-42.7944
36;b_130_800;2007;-22.55110002;-42.7783
45;b_139_800;2007;-22.50060002;-42.8006
48;b_141_800;2007;-22.46530002;-42.7583
90;b_18_800;2007;-25.57551852;-48.63296274
110;b_20_800;2007;-25.55255702;-48.63608171
128;b_22_800;2007;-25.53358627;-48.64501577
134;b_28_800;2007;-24.10357703;-48.33532257
139;b_32_800;2007;-24.09244894;-48.37048604
142;b_35_800;2007;-24.08382153;-48.38458697
148;b_40_800;2007;-24.06123324;-48.37800868
150;b_42_800;2007;-24.06157641;-48.32041477
151;b_43_800;2007;-24.05691908;-48.3504313
153;b_45_800;2007;-24.04835118;-48.37258961
162;b_53_800;2007;-23.91259851;-47.4748075
172;b_62_800;2007;-23.86626811;-47.44328652
206;b_93_800;2007;-23.2711749;-45.39038402
207;b_94_800;2007;-23.26888586;-45.38085438
208;b_95_800;2007;-23.25812604;-45.31643631
212;b_99_800;2007;-23.20995892;-45.27461184
7;b_104_800;2008;-22.97033177;-50.38196091
11;b_108_800;2008;-22.94588781;-50.41259124
12;b_109_800;2008;-22.94367117;-50.3492957
18;b_114_800;2008;-22.69274724;-43.9175
21;b_117_800;2008;-22.64420002;-42.7989
33;b_128_800;2008;-22.55580002;-42.8458
50;b_143_800;2008;-22.45220002;-42.8014
51;b_144_800;2008;-22.40725002;-42.737833
61;b_153_800;2008;-22.15333335;-44.73583333
65;b_157_800;2008;-22.04375002;-42.62036111
78;b_169_800;2008;-21.29732887;-44.99055945
133;b_27_800;2008;-24.10388891;-48.39055556
137;b_30_800;2008;-24.09444446;-48.31527778
141;b_34_800;2008;-24.08638891;-48.32555556
143;b_36_800;2008;-24.08138891;-48.36194444
144;b_37_800;2008;-24.07750002;-48.29861111
145;b_38_800;2008;-24.07416669;-48.35138889
149;b_41_800;2008;-24.05888891;-48.33527778
154;b_46_800;2008;-24.04722224;-48.33888889
155;b_47_800;2008;-24.04500002;-48.29694444
156;b_48_800;2008;-24.04444446;-48.39138889
166;b_57_800;2008;-23.88864702;-47.443661
189;b_78_800;2008;-23.72590802;-47.087539
200;b_88_800;2008;-23.68328102;-46.950186
19;b_115_800;2009;-22.69265002;-43.876975
20;b_116_800;2009;-22.68358335;-43.87073056
35;b_13_800;2009;-25.65941099;-49.39899348
41;b_135_800;2009;-22.52420002;-42.8428
73;b_164_800;2009;-21.97305558;-44.74305556
79;b_17_800;2009;-25.5815548;-49.34072154
98;b_19_800;2009;-25.55115835;-49.430325
136;b_3_800;2009;-26.55489556;-51.39583153
180;b_7_800;2009;-26.4047745;-51.40053458
191;b_8_800;2009;-26.39681203;-51.3751656
1;b_1_800;2010;-27.59810502;-48.468485
2;b_10_800;2010;-26.31913266;-51.5845617
6;b_103_800;2010;-23.02110036;-44.6095584
13;b_11_800;2010;-26.30706896;-51.58413017
24;b_12_800;2010;-25.68733351;-54.43287497
46;b_14_800;2010;-25.6495278;-54.44130556
52;b_145_800;2010;-22.36555558;-44.80416667
57;b_15_800;2010;-25.6220278;-54.47552778
68;b_16_800;2010;-25.61316669;-54.43072222
74;b_165_800;2010;-21.7682778;-41.94941667
75;b_166_800;2010;-21.76158865;-41.96782521
76;b_167_800;2010;-21.76011113;-41.94277778
77;b_168_800;2010;-21.30416669;-44.33305556
80;b_170_800;2010;-21.27986113;-44.95944442
81;b_171_800;2010;-21.27680562;-45.00388884
82;b_172_800;2010;-21.26833335;-44.93305556
83;b_173_800;2010;-21.25888891;-44.91805556
84;b_174_800;2010;-21.25680557;-44.94902779
85;b_175_800;2010;-21.1052778;-44.17777778
109;b_2_800;2010;-27.58187861;-48.46068991
121;b_21_800;2010;-25.53575002;-54.47922222
129;b_23_800;2010;-25.47511115;-54.51962499
93;b_182_800;2011;-23.181894;-44.19766
94;b_183_800;2011;-23.19205963;-44.19488786
8;b_105_800;2012;-22.95313999;-44.14276282
86;b_176_800;2012;-20.60960002;-40.4856
87;b_177_800;2012;-20.57972202;-40.539722
88;b_178_800;2012;-20.50000002;-40.584167
103;b_194_800;2014;-15.90082922;-39.22790537
104;b_195_800;2014;-15.89455259;-39.23865981
105;b_196_800;2014;-15.80052429;-39.50660014
106;b_197_800;2014;-15.72803895;-39.38241194
107;b_198_800;2014;-15.71489742;-39.36461691
108;b_199_800;2014;-15.34805932;-39.04541067
111;b_200_800;2014;-15.28181027;-39.18171568
112;b_201_800;2014;-15.24972056;-39.07805798
113;b_202_800;2014;-15.24808621;-39.15953231
114;b_203_800;2014;-15.20997089;-39.14374042
117;b_206_800;2014;-15.16606078;-39.21947552
9;b_106_800;2015;-22.94638891;-43.41861111
10;b_107_800;2015;-22.94583335;-44.10563889
14;b_110_800;2015;-22.93972225;-43.40625004
15;b_111_800;2015;-22.92801391;-43.99902779
210;b_97_800;2015;-23.24441669;-44.65341666
211;b_98_800;2015;-23.24216669;-44.63548612
5;b_102_800;2017;-23.11658377;-44.7269802
89;b_179_800;2017;-20.45705754;-41.0883864
91;b_180_800;2017;-20.37482579;-41.7743856
92;b_181_800;2017;-20.35983335;-41.76505556
203;b_90_800;2017;-23.27866669;-44.565
204;b_91_800;2017;-23.27741669;-44.55244444
205;b_92_800;2017;-23.27845839;-44.57548613
209;b_96_800;2019;-23.25218254;-44.669859
